element_id,tests,docs,examples,missing
ffx fuzz shell --json-file,0,1,0,"examples|tests"
ffx fuzz status,0,1,0,"examples|tests"
ffx fuzz status --no-stderr,0,1,0,"examples|tests"
ffx fuzz status --no-stdout,0,1,0,"examples|tests"
ffx fuzz status --no-syslog,0,1,0,"examples|tests"
ffx fuzz status --output,0,1,0,"examples|tests"
ffx fuzz status --quiet,0,1,0,"examples|tests"
ffx fuzz stop,0,1,0,"examples|tests"
ffx fuzz stop --quiet,0,1,0,"examples|tests"
ffx fuzz try,0,1,0,"examples|tests"
ffx fuzz try --no-stderr,0,1,0,"examples|tests"
ffx fuzz try --no-stdout,0,1,0,"examples|tests"
ffx fuzz try --no-syslog,0,1,0,"examples|tests"
ffx fuzz try --output,0,1,0,"examples|tests"
ffx fuzz try --quiet,0,1,0,"examples|tests"
ffx guest,0,1,0,"examples|tests"
ffx inspect,4,1,0,"examples"
ffx inspect apply-selectors,0,1,0,"examples|tests"
ffx inspect apply-selectors --accessor-path,0,1,0,"examples|tests"
ffx inspect apply-selectors --moniker,0,1,0,"examples|tests"
ffx inspect apply-selectors --snapshot-file,0,1,0,"examples|tests"
ffx inspect list,3,1,0,"examples"
ffx inspect list --accessor,0,1,0,"examples|tests"
ffx inspect list --component,0,1,0,"examples|tests"
ffx inspect list --with-url,0,1,0,"examples|tests"
ffx inspect list-accessors,1,1,0,"examples"
ffx inspect selectors,6,1,0,"examples"
ffx inspect selectors --accessor,0,1,0,"examples|tests"
ffx inspect selectors --data,0,1,0,"examples|tests"
ffx inspect show,11,1,0,"examples"
ffx inspect show --accessor,0,1,0,"examples|tests"
ffx inspect show --data,0,1,0,"examples|tests"
ffx inspect show --name,0,1,0,"examples|tests"
ffx log,35,11,5,""
ffx log --case-sensitive,0,1,0,"examples|tests"
ffx log --clock,0,1,0,"examples|tests"
ffx log --component,0,1,0,"examples|tests"
ffx log --disable-reconnect,0,1,0,"examples|tests"
ffx log --exclude,0,1,1,"tests"
ffx log --exclude-tags,0,1,0,"examples|tests"
ffx log --filter,0,2,2,"tests"
ffx log --force-set-severity,0,1,0,"examples|tests"
ffx log --hide-file,0,1,0,"examples|tests"
ffx log --hide-moniker,0,1,0,"examples|tests"
ffx log --hide-tags,0,1,0,"examples|tests"
ffx log --kernel,0,2,0,"examples|tests"
ffx log --moniker,0,1,0,"examples|tests"
ffx log --no-color,0,1,0,"examples|tests"
ffx log --pid,0,1,0,"examples|tests"
ffx log --prefer-url-component-name,0,1,0,"examples|tests"
ffx log --set-severity,0,1,2,"tests"
ffx log --severity,0,2,2,"tests"
ffx log --show-full-moniker,0,1,0,"examples|tests"
ffx log --show-metadata,0,1,0,"examples|tests"
ffx log --since,0,2,1,"tests"
ffx log --since-boot,0,1,0,"examples|tests"
ffx log --symbolize,0,1,0,"examples|tests"
ffx log --tag,0,1,0,"examples|tests"
ffx log --tid,0,1,0,"examples|tests"
ffx log --until,0,1,1,"tests"
ffx log --until-boot,0,1,0,"examples|tests"
ffx log dump,0,3,1,"tests"
ffx log set-severity,0,1,0,"examples|tests"
ffx log set-severity --force,0,1,0,"examples|tests"
ffx log set-severity --no-persist,0,1,0,"examples|tests"
ffx log watch,0,1,0,"examples|tests"
ffx monitor,8,1,1,""
ffx monitor start,0,1,1,"tests"
ffx monitor start --port,0,1,1,"tests"
ffx monitor stop,0,1,0,"examples|tests"
ffx net,0,1,0,"examples|tests"
ffx net --realm,0,1,0,"examples|tests"
ffx net dhcp,0,1,0,"examples|tests"
